Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Cage of Souls,Adrian Tchaikovsky,David Thorpe (Narrator),9781789548792,audio,read,2024/03/28,2024/08/27,2024/03/28-2024/08/27,1,"",,,,,,,,,"",,"",No
"Poems: Three Series, Complete",Emily Dickinson,"",,,read,2024/01/24,2025/03/13,2024/01/24-2025/03/13,1,"",,,,,,,,,"",,"",No
The Burning God,R.F. Kuang,"",9780008339142,hardcover,read,2022/01/29,2022/05/01,2022/04/06-2022/05/01,1,"",,,,,,,,,"",,"",No
A Feast for Crows,George R.R. Martin,"",9780553582024,paperback,read,2013/08/13,"","",1,"",,,,,,,3.0,,"",,"",No
Keep the Aspidistra Flying,George Orwell,"",9780141183725,paperback,read,2023/01/10,"","",1,"",,,,,,,,,"",,"",No
"Oh, to Be a Painter!",Virginia Woolf,Claudia Tobin (Contributor),9781644230589,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
The Poppy War,R.F. Kuang,"",9780008239848,paperback,read,2022/01/20,2022/01/28,2022/01/19-2022/01/28,1,"",,,,,,,,,"",,"",No
A Wizard of Earthsea,Ursula K. Le Guin,"",9780553383041,paperback,read,2023/09/02,2023/09/10,2023/09/02-2023/09/10,1,"",,,,,,,,,"",,"",No
The Hero of Ages,Brandon Sanderson,"",B002LC8HF0,digital,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Things Fall Apart,Chinua Achebe,"",9780141023380,paperback,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
The Grace of Kings,Ken Liu,"",9781481424271,hardcover,to-read,2024/03/28,"","",0,"",,,,,,,,,"",,"",No
The Universe in Verse: 15 Portals to Wonder through Science & Poetry,Maria Popova,"",B0CTZKGL1F,digital,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,"",No
Monkey Grip,Helen Garner,"",9780140049534,paperback,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",No
I Know What You Did Last Wednesday,Anthony Horowitz,"",,,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Cloud Cuckoo Land,Anthony Doerr,"",9780008478674,paperback,read,2023/04/16,2023/08/13,2023/03/26-2023/08/13,1,"",,,,,,,,,"",,"",Yes
The Dollmakers,Lynn Buchanan,"",9780063308268,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
An Ember in the Ashes,Sabaa Tahir,"",0698176464,digital,to-read,2022/05/23,"","",0,"",,,,,,,,,"",,"",No
All the Light We Cannot See,Anthony Doerr,"",9781476746586,hardcover,read,2022/01/29,"","",1,"",,,,,,,,,"",,"",No
The Wise Man's Fear,Patrick Rothfuss,Nick Podehl (Narrator),9781611066562,audio,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
An Absolutely Remarkable Thing,Hank Green,"Hank Green (Narrator), Kristen Sieh (Narrator)",9780525641810,audio,read,2022/01/11,"","",1,"",,,,,,,,,"",,"",No
The House in the Cerulean Sea,TJ Klune,"",9781529087949,paperback,read,2022/01/12,2022/01/19,2022/01/10-2022/01/19,1,"",,,,,,,,,"",,"",No
A Clash of Kings,George R.R. Martin,"",9780553381696,paperback,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
Matilda,Roald Dahl,Quentin Blake (Illustrator),9780141301068,paperback,read,2013/08/13,"","",1,"",,,,,,,3.0,,"",,"",No
Treasure Island,Robert Louis Stevenson,"",9780753453803,hardcover,read,2024/09/18,2024/11/23,2024/09/15-2024/11/23,1,"",,,,,,,,,"",,"",No
Faebound,Saara El-Arifi,"",9780008596965,hardcover,to-read,2024/03/01,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Deathly Hallows,J.K. Rowling,Mary GrandPré (Illustrator),9780545010221,hardcover,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
The Fifth Season,N.K. Jemisin,"",9780316229296,paperback,to-read,2024/12/04,"","",0,"",,,,,,,,,"",,"",No
Animal Farm,George Orwell,"",9781542026734,paperback,read,2024/01/17,"","",1,"",,,,,,,,,"",,"",Yes
1984,George Orwell,"",9781328869333,hardcover,read,2013/08/13,"","",1,"",,,,,,,,,"",,"",No
Eight Million Ways to Die,Lawrence Block,"",9780380715732,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
Crocodile Tears,Anthony Horowitz,"","",paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Charlie and the Chocolate Factory,Roald Dahl,Quentin Blake,9780142403884,paperback,read,2013/08/13,"","",1,"",,,,,,,,,"",,"",No
The War of the Worlds,H.G. Wells,"",9780375759239,paperback,read,2013/08/13,2013/08/18,2013/08/18,1,"",,,,,,,,,"",,"",No
Small Things Like These,Claire Keegan,"",9780571368686,hardcover,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",No
Galatea,Madeline Miller,"",9781408848142,digital,read,2024/03/04,2024/03/04,2024/03/04-2024/03/04,1,"",,,,,,,,,"",,"",No
Harry Potter and the Chamber of Secrets,J.K. Rowling,Mary GrandPré (Illustrator),9780439064866,hardcover,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
Yumi and the Nightmare Painter,Brandon Sanderson,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781938570445,audio,read,2024/01/03,2024/01/10,2023/12/15-2024/01/10,1,"",,,,,,,,,"",,"",No
Unmasking Autism: Discovering the New Faces of Neurodiversity,Devon Price,"",9780593235232,hardcover,read,2024/06/25,2024/11/23,2024/06/25-2024/11/23,1,"",,,,,,,,,"",,"",No
The Well of Ascension,Brandon Sanderson,"",9780765316882,hardcover,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
The Shell Collector,Anthony Doerr,"",9780007146987,paperback,read,2023/08/20,2023/09/02,2023/08/19-2023/09/02,1,"",,,,,,,,,"",,"",No
Border Town Girl,John D. MacDonald,"",,,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
Ark Angel,Anthony Horowitz,"",9781406360240,paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
A Beautifully Foolish Endeavor,Hank Green,"Gabra Zackman (Narrator), Joe Hempel (Narrator), Hank Green (Narrator), Robert Petkoff (Narrator), Kristen Sieh (Narrator), Hillary Huber (Narrator), Kevin R. Free (Narrator), Angelo Di Loreto (Narrator), Nicole Lewis (Narrator), P.J. Ochlan (Narrator), Oliver Wyman (Narrator), Jesse Vilinsky (Narrator)",9780593146330,audio,read,2022/01/11,"","",1,"",,,,,,,,,"",,"",No
Greta and Valdin,Rebecca K Reilly,"",9781776564194,paperback,to-read,2024/12/04,"","",0,"",,,,,,,,,"",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,read,2013/08/13,"","",1,"",,,,,,,3.0,,"",,"",No
Sea of Tranquility,Emily St. John Mandel,"",9781529083491,hardcover,read,2023/01/17,2023/01/24,2023/01/15-2023/01/24,1,"",,,,,,,,,"",,"",No
