Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Hound of the Baskervilles,Arthur Conan Doyle,"",9781618955104,paperback,read,2013/08/13,"","",1,"",,,,,,,3.0,,"",,"",No
Call Me By Your Name,André Aciman,"",9781786495259,paperback,read,2022/05/04,"","",1,"",,,,,,,,,"",,"",No
Mrs Dalloway,Virginia Woolf,"",9780141182490,paperback,read,2024/01/17,"","",1,"",,,,,,,,,"",,"",Yes
Mr Wilder & Me,Jonathan Coe,"",9780241454664,hardcover,read,2023/08/15,2023/08/19,2023/08/15-2023/08/19,1,"",,,,,,,,,"",,"",No
Heart of Darkness,Joseph Conrad,Aníbal Fernandes (Translator),9781892295491,paperback,read,2013/08/13,"","",1,"",,,,,,,,,"",,"",No
The Beauty Queen of Leenane,Martin McDonagh,"",9780413707307,paperback,read,2024/09/12,2024/09/12,2024/09/12-2024/09/12,1,"dark, funny, sad",fast,Character,No,No,No,Yes,2.0,<div>Fun dialog over a threadbare story. 'shock' ending feels cheap today.</div>,"Moderate: Violence, Fire/Fire injury; ","","",No
Scythe,Neal Shusterman,"",9781406379242,paperback,read,2024/01/10,2024/01/14,2024/01/10-2024/01/14,1,"",,,,,,,,,"",,"",Yes
House of Leaves,Mark Z. Danielewski,"",9780385603102,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
The Fault in Our Stars,John Green,"",9780142424179,paperback,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
One Plus One Equals Three: A Masterclass in Creative Thinking,Dave Trott,"",9781447287056,paperback,read,2023/07/08,2023/07/08,2023/07/08-2023/07/08,1,"",,,,,,,,,"",,"",No
The Lost Metal,Brandon Sanderson,Michael Kramer (Narrator),"",audio,read,2023/04/16,2023/07/04,2023/04/16-2023/07/04,1,"",,,,,,,,,"",,"",No
Pachinko,Min Jin Lee,"",9781455563913,digital,read,2021/12/06,2021/12/24,2021/12/02-2021/12/24,1,"",,,,,,,,,"",,"",No
